1, 1, oats,40
1, 1, ALPRO drink,200
1, 1, cinnamon,2
1, 1, honey,10
1, 1, walnuts,15
1, 1, berries,100
1, 1, egg,100
1, 2, brown rice,50
1, 2, turkey filet,150
1, 2, zucchini,200
1, 2, onion,50
1, 2, olive oil,10
1, 2, garlic powder,3
1, 2, black pepper,2
1, 2, salt,2
1, 2, oregano,3
1, 2, natural yogurt,50
1, 3, egg,100
1, 3, egg whites,30
1, 3, banana,140
1, 3, milk,10
1, 3, salt,1
1, 3, natural yogurt,50
1, 3, berries,100
1, 3, honey,10
1, 3, black bread,60
1, 3, turkey ham,30
1, 3, cucumber,50
1, 3, lettuce,10
1, 4, brown rice,150
1, 4, chicken filet,150
1, 4, grean peas,30
1, 4, corn,30
1, 4, pineapple,80
1, 4, natural yogurt,50
1, 4, lemon juice,10
1, 4, black pepper,2
1, 4, salt,4
1, 4, olive oil,10
1, 5, egg,150
1, 5, clarified butter,5
1, 5, turkey ham,45
1, 5, green pepper,1
1, 5, black bread,90
1, 5, radish,60
1, 5, tomato,160
1, 5, fruit tea,220
1, 5, honey,10
1, 6, integral pasta,50
1, 6, turkey filet,150
1, 6, tomato,160
1, 6, garlic,2
1, 6, onion,50
1, 6, olive oil,15
1, 6, oregano ,1
1, 6, thyme,1
1, 6, basil,1
1, 6, fresh basil,1
1, 6, black peper,2
1, 6, salt,2
1, 6, tomato concentrate,15
1, 7, pasta without gluten,50
1, 7, lettuce,15
1, 7, tuna in water,120
1, 7, red pepper,200
1, 7, celery,50
1, 7, radish,75
1, 7, cashew,10
1, 7, olive oil,10
1, 7, black pepper,4
1, 7, salt,2
1, 8, chicken filet,150
1, 8, zucchini,150
1, 8,olive oil,10
1, 8,lemon juice,10
1, 8, oregano,2
1, 8, salt,2
1, 8, black pepper,2
1, 8, kasza jaglana,50
1, 8, frozen spring vegetables,150
1, 9, turkey sznycel,150
1, 9, apple,70
1, 9, vegetable oil,5
1, 9, onion,15
1, 9, honey,3
1, 9, salt,2
1, 9, black pepper,2
1, 9, brown rice,50
1, 9, carrot,150
1, 9, olive oil,10
2, 1, white rice,50
2, 1, tuna in water,120
2, 1, cucumber in preserve,100
2, 1, green peas,45
2, 1, olive oil,15
